รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
30030000,สพป.นครราชสีมา เขต 3,30030001,บ้านโกรกสำโรง,9,2,11,1,3,3,6,1,7,7,14,1,19,12,31,3,8,8,16,1,6,3,9,1,5,4,9,1,5,4,9,1,1,3,4,1,2,3,5,1,27,25,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,46,37,83,9
30030000,สพป.นครราชสีมา เขต 3,30030002,บ้านไชยวาล,0,2,2,1,8,9,17,1,10,7,17,1,18,18,36,3,2,11,13,1,5,1,6,1,8,8,16,1,13,11,24,1,9,7,16,1,7,8,15,1,44,46,90,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,62,64,126,9
30030000,สพป.นครราชสีมา เขต 3,30030003,บ้านดอนแสนสุข,0,0,0,0,4,6,10,1,12,12,24,1,16,18,34,2,15,5,20,1,10,9,19,1,5,11,16,1,12,16,28,1,7,10,17,1,8,12,20,1,57,63,120,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,73,81,154,8
30030000,สพป.นครราชสีมา เขต 3,30030004,บ้านหนองต้อ,2,2,4,1,5,7,12,1,6,5,11,1,13,14,27,3,5,4,9,1,5,4,9,1,3,7,10,1,3,1,4,1,5,5,10,1,5,4,9,1,26,25,51,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39,39,78,9
30030000,สพป.นครราชสีมา เขต 3,30030005,บ้านหนองใหญ่,9,8,17,1,6,3,9,1,6,8,14,1,21,19,40,3,2,5,7,1,7,2,9,1,7,8,15,1,13,4,17,1,4,7,11,1,3,8,11,1,36,34,70,6,4,5,9,1,11,3,14,1,5,5,10,1,20,13,33,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,77,66,143,12
30030000,สพป.นครราชสีมา เขต 3,30030006,บ้านใหญ่,0,1,1,1,8,13,21,1,18,9,27,1,26,23,49,3,12,10,22,1,17,10,27,1,10,12,22,1,8,8,16,1,2,14,16,1,13,9,22,1,62,63,125,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,88,86,174,9
30030000,สพป.นครราชสีมา เขต 3,30030007,บ้านสระผักโพด,0,0,0,0,7,1,8,1,2,4,6,1,9,5,14,2,13,5,18,1,2,4,6,1,9,6,15,1,7,6,13,1,6,4,10,1,3,7,10,1,40,32,72,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,37,86,8
30030000,สพป.นครราชสีมา เขต 3,30030008,บ้านซับก้านเหลือง,5,7,12,1,5,5,10,1,8,16,24,1,18,28,46,3,9,5,14,1,12,7,19,1,9,10,19,1,16,5,21,1,9,10,19,1,10,5,15,1,65,42,107,6,11,7,18,1,9,10,19,1,12,9,21,1,32,26,58,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,115,96,211,12
30030000,สพป.นครราชสีมา เขต 3,30030009,บ้านหนองโสน,9,1,10,1,6,2,8,1,2,5,7,1,17,8,25,3,7,3,10,1,3,2,5,1,7,2,9,1,2,4,6,1,10,5,15,1,3,4,7,1,32,20,52,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,49,28,77,9
30030000,สพป.นครราชสีมา เขต 3,30030010,บ้านหนองหว้าประชาอาสา,0,0,0,0,0,2,2,1,0,0,0,0,0,2,2,1,5,1,6,1,1,0,1,1,2,0,2,1,6,3,9,1,2,0,2,1,1,0,1,1,17,4,21,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17,6,23,7
