รหัสเขต,ชื่อเขต,รหัสโรงเรียน,ชื่อโรงเรียน,อ.1 ชาย,อ.1 หญิง,รวมอ.1,อ.1 ห้อง,อ.2 ชาย,อ.2 หญิง,รวมอ.2,อ.2 ห้อง,อ.3 ชาย,อ.3 หญิง,รวมอ.3,อ.3 ห้อง,รวมก่อนประถม ชาย,รวมก่อนประถม หญิง,รวมก่อนประถม,รวมห้องก่อนประถม,ป.1 ชาย,ป.1 หญิง,รวมป.1,ป.1 ห้อง,ป.2 ชาย,ป.2 หญิง,รวมป.2,ป.2 ห้อง,ป.3 ชาย,ป.3 หญิง,รวมป.3,ป.3 ห้อง,ป.4 ชาย,ป.4 หญิง,รวมป.4,ป.4 ห้อง,ป.5 ชาย,ป.5 หญิง,รวมป.5,ป.5 ห้อง,ป.6 ชาย,ป.6 หญิง,รวมป.6,ป.6 ห้อง,รวมประถม ชาย,รวมประถม หญิง,รวมประถม,รวมห้องประถม,ม.1 ชาย,ม.1 หญิง,รวมม.1,ม.1 ห้อง,ม.2 ชาย,ม.2 หญิง,รวมม.2,ม.2 ห้อง,ม.3 ชาย,ม.3 หญิง,รวมม.3,ม.3 ห้อง,รวมม.ต้น ชาย,รวมม.ต้น หญิง,รวมม.ต้น,รวมห้องม.ต้น,ม.4 ชาย,ม.4 หญิง,รวมม.4,ม.4 ห้อง,ม.5 ชาย,ม.5 หญิง,รวมม.5,ม.5 ห้อง,ม.6 ชาย,ม.6 หญิง,รวมม.6,ม.6 ห้อง,ปวช.1 ชาย,ปวช.1 หญิง,รวมปวช.1,ปวช.1 ห้อง,ปวช.2 ชาย,ปวช.2 หญิง,รวมปวช.2,ปวช.2 ห้อง,ปวช.3 ชาย,ปวช.3 หญิง,รวมปวช.3,ปวช.3 ห้อง,รวมม.ปลายและเทียบเท่า ชาย,รวมม.ปลายและเทียบเท่า หญิง,รวมม.ปลายและเทียบเท่า,รวมห้องม.ปลายและเทียบเท่า,รวมทั้งหมด ชาย,รวมทั้งหมด หญิง,รวมทั้งหมด,รวมห้องทั้งหมด
32030000,สพป.สุรินทร์ เขต 3,32030001,อนุบาลปราสาทศึกษาคาร,0,0,0,0,92,80,172,6,102,110,212,6,194,190,384,12,120,141,261,7,133,131,264,7,122,149,271,7,115,126,241,6,114,136,250,6,128,158,286,7,732,841,1573,40,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,926,1031,1957,52
32030000,สพป.สุรินทร์ เขต 3,32030002,บ้านยาง(สารกิจราษฎร์วิทยา),0,0,0,0,5,7,12,1,5,9,14,1,10,16,26,2,11,7,18,1,9,9,18,1,7,4,11,1,8,7,15,1,9,5,14,1,6,11,17,1,50,43,93,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60,59,119,8
32030000,สพป.สุรินทร์ เขต 3,32030003,บ้านตาเสาะ,0,0,0,0,14,11,25,1,14,17,31,1,28,28,56,2,19,9,28,1,9,11,20,1,11,14,25,1,14,10,24,1,16,8,24,1,6,16,22,1,75,68,143,6,17,15,32,1,10,9,19,1,20,8,28,1,47,32,79,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,150,128,278,11
32030000,สพป.สุรินทร์ เขต 3,32030004,บ้านสีโค,0,0,0,0,4,3,7,1,1,4,5,1,5,7,12,2,5,5,10,1,8,3,11,1,4,8,12,1,4,3,7,1,12,7,19,1,6,5,11,1,39,31,70,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,44,38,82,8
32030000,สพป.สุรินทร์ เขต 3,32030005,ปราสาท,0,0,0,0,27,21,48,2,39,20,59,2,66,41,107,4,25,23,48,2,16,16,32,1,18,24,42,2,25,23,48,2,23,32,55,2,27,23,50,2,134,141,275,11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,182,382,15
32030000,สพป.สุรินทร์ เขต 3,32030006,กันทราราม(นุ่นศึกษาคาร),0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24,16,40,2,15,18,33,2,20,15,35,2,14,21,35,2,17,13,30,2,18,18,36,2,108,101,209,12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,108,101,209,12
32030000,สพป.สุรินทร์ เขต 3,32030007,บ้านทำนบ,0,0,0,0,5,7,12,1,8,5,13,1,13,12,25,2,4,15,19,1,7,10,17,1,11,8,19,1,7,9,16,1,7,9,16,1,9,14,23,1,45,65,110,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,58,77,135,8
32030000,สพป.สุรินทร์ เขต 3,32030008,อมรินทราวารี,0,0,0,0,14,25,39,1,21,21,42,2,35,46,81,3,20,13,33,2,25,17,42,2,16,15,31,2,21,19,40,1,20,16,36,1,18,12,30,1,120,92,212,9,12,18,30,1,17,10,27,1,23,12,35,1,52,40,92,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,207,178,385,15
32030000,สพป.สุรินทร์ เขต 3,32030009,บ้านจบก,0,0,0,0,8,12,20,1,9,12,21,1,17,24,41,2,10,7,17,1,8,6,14,1,6,8,14,1,8,8,16,1,5,9,14,1,5,8,13,1,42,46,88,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,59,70,129,8
32030000,สพป.สุรินทร์ เขต 3,32030010,บ้านโคกทม,0,0,0,0,9,20,29,1,14,18,32,1,23,38,61,2,14,11,25,1,18,21,39,2,5,14,19,1,19,18,37,2,12,12,24,1,11,11,22,1,79,87,166,8,17,11,28,1,9,5,14,1,7,8,15,1,33,24,57,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,135,149,284,13
